GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vehicule,com.projet.testing.vehicule.service,ToKens,8,15,0,0,1,3,2,3,2,3
vehicule,com.projet.testing.vehicule,VehiculeApplication,5,3,0,0,2,1,1,1,1,1
vehicule,com.projet.testing.vehicule.mapper,UserMapper,0,39,0,0,0,11,0,3,0,3
vehicule,com.projet.testing.vehicule.mapper,ImageMapper,0,21,0,0,0,6,0,2,0,2
vehicule,com.projet.testing.vehicule.mapper,VehiculeMapper,0,67,0,0,0,18,0,3,0,3
vehicule,com.projet.testing.vehicule.config,CryptageMotDePasse,0,7,0,0,0,2,0,2,0,2
vehicule,com.projet.testing.vehicule.config,SecurityConfig,0,97,0,0,0,19,0,5,0,5
vehicule,com.projet.testing.vehicule.exception,CustomHandlerException,0,55,0,2,0,12,0,4,0,3
vehicule,com.projet.testing.vehicule.exception,BusinessException,11,15,0,0,2,6,3,3,3,3
vehicule,com.projet.testing.vehicule.exception,ErrorModel,6,17,0,0,1,4,1,5,1,5
vehicule,com.projet.testing.vehicule.exception,DuplicateRegistrationNumberException,4,0,0,0,2,0,1,0,1,0
vehicule,com.projet.testing.vehicule.util,JwtUtil,0,86,0,0,0,27,0,8,0,8
vehicule,com.projet.testing.vehicule.util,PasswordValidator,0,92,1,25,0,11,1,14,0,2
vehicule,com.projet.testing.vehicule.controller,VehiculeController,32,166,1,1,8,36,2,9,1,9
vehicule,com.projet.testing.vehicule.controller,UserController,0,204,0,4,0,40,0,11,0,9
vehicule,com.projet.testing.vehicule.dto,VehiculeDto,0,52,0,0,0,9,0,15,0,15
vehicule,com.projet.testing.vehicule.dto,ImagesDto,6,24,0,0,2,5,1,7,1,7
vehicule,com.projet.testing.vehicule.dto,ChangePasswordRequest,4,19,0,0,0,4,1,4,1,4
vehicule,com.projet.testing.vehicule.dto,UserDto,11,31,0,0,1,6,1,9,1,9
vehicule,com.projet.testing.vehicule.service.impl,JwtServiceImpl,0,198,2,8,0,49,2,7,0,4
vehicule,com.projet.testing.vehicule.service.impl,UserServiceImpl,0,390,4,26,0,77,4,19,0,8
vehicule,com.projet.testing.vehicule.service.impl,VehiculeServiceImpl,31,271,6,8,6,55,6,15,0,14
vehicule,com.projet.testing.vehicule.model,User,52,33,0,0,8,8,14,9,14,9
vehicule,com.projet.testing.vehicule.model,Images,11,26,0,0,1,7,3,7,3,7
vehicule,com.projet.testing.vehicule.model,RefreshToken,42,38,0,0,6,5,12,5,12,5
vehicule,com.projet.testing.vehicule.model,Vehicule,11,53,0,0,1,10,3,14,3,14
vehicule,com.projet.testing.vehicule.model,Jwt.JwtBuilder,21,44,0,0,0,1,2,7,2,7
vehicule,com.projet.testing.vehicule.model,RefreshToken.RefreshTokenBuilder,35,41,0,0,0,1,4,6,4,6
vehicule,com.projet.testing.vehicule.model,Jwt,39,31,0,0,6,4,11,4,11,4
